formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
사막 보니까 어때요?	사막 보니까 어때?	사막. 본 후에. 감상. 어떤가.	어유 그 사막 보니까 어뗘?	사막은 볼만 했어?	사막 어떰?	사막 보니까 어땡? (* ￣︿￣)	사막 진짜로 보니까 어때~? 어우 어떡해 신나겠당~!!~!	실제로 사막을 보니 어떠신가요?	사막..보니까 어뗘?..	염병하고 자빠졌네 그래 그 눈깔로 직접 보니까 뭐가 좀 달러?	그래서 어떤데	그래, 사막을 보니 그 감상이 어떻소?	사막 보니깐 어떻냐니깐!	사막 보니까 어떻소?	보니까 어떄 혹시..? 사막..?	감상평 사막에 대한?
공기가 굉장히 텁텁하네요.	공기가 굉장히 텁텁해.	공기. 극도로. 텁텁함.	공기가 기~냥 텁텁하네	공기가 꽤 텁텁함...	공기 상태 개에반데?	공기가 완전 텁텁해 （；´д｀）ゞ	막 근데 신기하게 공기가 엄청 텁텁하다?! 완전 답답해 죽는줄 ㅜ	공기가 굉장히 텁텁,,하네요.	공기가 엄청…텁텁하네…	어유 이 병신같은 공기가 기냥 목에 칵 박혀서 텁텁하고 지랄이 이런 지랄이 읎어	공기 그냥 텁텁한데	공기가 심히 텁텁하오.	공기가 엄청 텁텁하다니깐!	공기가 굉장히 텁텁하오!	공기가 엄청 텁텁해..ㅠ	아주 텁텁한 공기다.
그럼 지금 아프리카 가신 거에요?	그럼 지금 아프리카 간 거야?	현재. 아프리카에. 갔는가.	아유 그럼 지금 아프리카 간거여?	그럼 지금 아프리카야?	그럼 지금 아프리카임?	그럼 지금 아프리카 간 거야? (´･ω･`)?	완전 신기하당!! 그럼 지금 아프리카 가있는거야?!?	그럼 지금은 아프리카에 계신 건가요?	그럼 지금 아프리카 간 겐가?...	그럼 지금 아프리카인가 뭔가 거기까지 또 기어 들어간겨?	아프리카냐 그럼 지금	허면 지금 아프리카에 간 것이오?	그럼 지금 아프리카 간거냐니깐!	그럼 지금 아프리카 간 것이오?	그럼 지금.. 아프리카 갔어..? ㅠㅠ	그래서 당신은 아프리카에 지금?
네, 맞아요. 정확히는 이집트 왔어요.	맞아. 정확히는 이집트 왔어.	그렇다. 정확히는. 이집트에. 있다.	그려 정확히는 이집트!	ㅇㅇ 지금 이집트왔음	ㅇㅇ 정확히는 이집트임	그치그치 *^____^* 정확히는 이집트에 온거임! O(*^＠^*)o	웅웅! 정확히는~ 이.집.트! 완전 대박 신나^0^ ㅎㅎ	네,, 그렇죠. 정확하게는 이집트에,, 와있습니다.	맞네~ 정확히는 이집트에 왔어…	그려 염병 정확하게 이집트라는 곳이다 최종학력이 피자스쿨인 새꺄	ㅇ 이집트 왔는데	그렇소. 콕 집어 말하자면, 이집트에 왔소.	맞다니깐! 정확힌 이집트라니깐!	그렇소! 정확히는 이집트에 온 것이오!	응.. 그.. 이집트야 정확히는..	옳은. 이집트에서, 정확하게.
그럼 피라미드도 보시겠네요?	그럼 피라미드도 보겠네?	피라미드. 보았는가.	그럼 피라미드도 보는감?	오 그럼 피라미드도 봤어?	아 ㄹㅇ? 피라미드 봄?	그럼 피라미드도 보겠네?! ( •̀ ω •́ )✧	우왕 어떡해어떡해 막 피라미드도 보고 그러겟넹!!	그럼 피라미드도 보시나요?	그럼…피라미드도 봤겠네?...	지랄났네 지랄 났어 그럼 또 피라미드 보겠다고 좀도둑마냥 종종거리면서 다니겠구만	피라미드는 봤냐	허면 피라미드도 견문할 수 있겠소?	그럼 피라미드도 봤을 거 같다니깐!	그럼 피라미드도 봤을 것이라 생각하오!	아.. 그럼 혹시.. 피라미드도 봐..? ㅠ	목격하다 피라미드?
곧 보러 갈 것 같아요.	곧 보러 갈 것 같아.	계획. 보러가기.	곧 보러 가겠지 뭐	이제 보러 갈거 같음	곧 볼 듯 ㅋㅋ	)(★ ω ★)곧 보러 갈듯! (★ ω ★)	웅웅 곧 보러갈 거 같앙~ ㅎㅎ	예 곧 보러 갈 것 같네요.	곧 보러 갈 것 같어~…	니미럴 거 또 보러가줘야지	이따 갈거	곧 보러갈 듯 하네.	곧 보러 갈 것 같다니깐!	곧 보러 갈 것이오!	곧 보러 갈 것 같아..ㅠ	예정은 보러 가는 것이다 곧
이집트 여행 추천하세요?	이집트 여행 추천해?	이집트. 여행. 어떤가.	이집트 여행은 뭐 추천할만 한감?	이집트 여행 추천할만 함?	이집트 어떰? 추천각?	(★ ω ★)이집트 여행 추천할만해? (⊙_⊙)？	이집트 여행 어때? 막 추천하고 싶어져?! 너~무 부러워	이집트 여행은 어떤가요,, 추천할만 한가요?	이집트 여행은 추천할 만 혀?...	염병 모래로 스프라이트로 샤워하면서도 이집트는 또 갈만 하더냐?	그래서 이집트 갈만하냐	이집트 견문을 권하겠는가?	이집트 여행 추천할만 하냐니깐!	이집트 여행은 추천할만 것시오?	이집트 여행은.. 혹시.. 추천해? ㅠ	할 수 있는가 추천 이집트 여행을?
저는 굉장히 만족스러워요. 문화와 역사가 풍부한 나라라 관광하기 너무 좋은 것 같아요.	나는 굉장히 만족스러워. 문화와 역사가 풍부한 나라라 관광하기 너무 좋은 것 같아.	안드로이드. 굉장히. 만족. 문화와 역사. 풍부함. 따라서. 관광하기. 좋음.	나는 기냥 만족스러워~ 여가 문화하면 문화, 역사하면 역사 다 풍부한 나라 아니야 관광하러 오기 딱 좋지 머~	난 완전 만족임. 문화하고 역사가 풍부해서 관광하기 진짜 좋다고 생각함.	난 ㄹㅇ 만족. 문화랑 역사 빼면 시체인 나라라 그런지 관광할만함ㅋㅋ	난 완~전 만족! 만족! （＾∀＾●）ﾉｼ 문화하고 역사들이 풍부해가지구 관광하기 짱임!        (o゜▽゜)o☆	난 완전 만족ㅜㅜ!!! 문화와 역사가 풍부해서 그런가 관광하기 너~무 좋은 거 있지?!	저는 굉장히 만족스러워서,, 문화와 역사가 풍부한 나라라 관광하기에는 좋은 거 같습니다.	나…는…엄청 만족스러워…문화하고 역사가 넘치는 나라라서 관광하기에 딱 좋은거 같어…	서브웨이가서 차멀미할 놈,, 기냥 뒤지기 전에 한번 와볼법하지 뭘 또 갈만하고 뭐고 지랄이여 기냥 그 저 뭐야 문화나 역사가 많아서 가이드가 그냥 주둥아리를 쉬지 않고 나불거리는 정도여	문화랑 역사 좋아하면 그럭저럭 ㄱㅊ	짐은 아주 흡족스럽소. 문화와 역사가 풍부한 나라로, 견문하기 아주 이롭소.	난 엄청 만족한다니깐! 문화, 역사 둘다 풍부해서 관광하기 엄청 좋다니깐!	소생은 굉장히 만족스럽소! 문화와 역사 풍부한 나라이기에 관광하기에도 굉장히 좋은 것 같소!	난 만족스러운 것 같아..ㅠ 문화랑 역사가 풍부한 나라라 관광하기 좋은 듯 해..ㅠ	나는 굉장히 흡족한다. 나라는 문화와 역사가 많아 여행하기 좋은 장소를 만듭니다.
																
오늘은 별 다른 계획 없으신가요?	오늘은 별 다른 계획 없어?	오늘. 계획. 없는가.	오늘 뭐 별 다른 계획 없나?	오늘은 뭐 다른 계획 없는거?	오늘 뭐 없냐?	오늘은 뭐 딴 계획 없어? ☜(ﾟヮﾟ☜)	오늘 머행~?	오늘,, 뭐,,다른 계획,, 있으신가요?	오늘은 뭐 계획 없는겨?..	염병 오늘 일 없냐? 	오늘은 별거 안하냐	오늘은 별다른 계획이 없는가?	오늘은 별 다른 계획 없냐니깐! ㅋㅋ	오늘은 별 다른 계획 없는 것이오?	오늘은 혹시.. 별로 다른 계획은 없어..? ㅠ	별도의 계획이 있습니까 오늘?
저는 없네요. 취미가 어떻게 되세요?	나는 없어. 취미가 뭐야?	안드로이드. 없다. 취미. 무엇인가.	난 뭐 읎지? 그 뭐야 그쪽은 취미 뭐 있나?	난 없는데. 취미는 뭐야?	ㅇㅇ 없음 취미가 뭐냐?	난 없엉. !(*￣(￣　*) 넌 취미가 뭐야? (⊙_⊙)？	난 암것두 안행!! 넌? 취미가 모야모야~^0^?	저는 별 다른 계획은 없습니다. 취미가 있으신지요?	나는 없는데…자네는 뭐 취미 있어?...	아이고 늙으니 일이 있겟나 얼른 디져야지 거 넌 뭐 취미나 그런 거 읎냐 맨날 천날 백수마냥 그렇게 쳐 누워만 있어?	ㅇ 안하는데 취미가 뭐냐	짐은 없소. 그대의 취미는 무엇인가?	난 없다니깐! 취미가 뭐냐니깐!	소생은 없소. 취미가 무엇이오?	난 없는데..ㅠ 취미는 뭐야..?	나에게는 없는. 취미가 무엇입니까?
저는 운동하는 것을 좋아해요.	난 운동하는 것을 좋아해.	안드로이드. 운동. 좋아한다.	나는 머 그냥 운동하는 거 좋아하고 그래	난 운동 좋아해	나? 쇠질하는 거 좋아함 ㅋㅋ	난 운동하는게 좋아! ╰(*°▽°*)╯	난 요즘 운동하는 게 그~렇게 좋더랑 ㅎㅎㅎ	저는,, 운동하는 걸 좋아합니다.	난 운동하는걸 좋아하지...	니미 난 운동 하제	운동하는거 좋아하는데 왜	과인은 운동하는 것을 즐기오.	난 운동하는게 좋다니깐! ^^	소생은 운동을 좋아하오!	난 운동하는거.. 좋아해 ㅠ	나는 좋아한다 운동
건강한 취미, 좋네요. 저도 운동하는 것 좋아해요. 또 뭐 없나요?	건강한 취미네. 나도 운동하는 것 좋아해. 또 뭐 없어?	취미. 건강함. 안드로이드. 운동 선호. 또 없는가.	아으 건강한 취미네 좋네 나도 운동하는 거 좋아하는데 또 뭐 좋아하는 거 더 없어?	건강한 취미구만. 나도 운동 좋아함! 또 다른 취미 있음?	건강한 취미네 ㅋㅋ 나도 쇠질 좋아함 또 뭐 없냐?	취미가 건강하네! (o゜▽゜)b 나도 운동하는거 좋아함! Ψ(｀∇´)ψ 또 뭐 없엉? (⊙_⊙)？	헉 대박 완전 건강미 뿜뿜 나도 운동 완전완전 좋아해ㅜㅜ 또 뭐 하는 거 좋아해?!	건강한 취미네요. 저도 운동하는 것 좋아합니다. 또 뭐 좋아하시는 게 있으십니까?	취미가 건강하구먼~. 나도 자네처럼 운동하는 거 좋아하지. 또 다른거 있어?	하이고 오~래 살것네 나도 운동은 허지 식상한 거 말고 뭐 딴 거 없냐	건강한척하네 나도 운동 좋아하긴 함. 딴건 앖냐	참으로 이로운 취미요. 과인 또한 운동을 즐기오. 다른 것은 없소?	건강한 취미라니깐! 나도 운동 좋아한다니깐! 또 뭐 없냐니깐!	건강한 취미라고 생각하오! 소생도 운동을 좋아하오! 또 다른 것 있는 것이오?	건강한 취미네..ㅠ 나도 운동하는 거 좋아하는데.. 또 뭐 없어 혹시..?	그것은 유익한 취미인. 나 또한 좋아한다 운동을. 그리고?
독서도 좋아해요.	독서도 좋아해.	독서. 좋아함.	책 읽는 것도 좋아하지~	독서도 좋아함	책 읽는 것도 좋음 ㅋㅋㅋ	(●ˇ∀ˇ●)독서 📕 좋아해! (★ ω ★)	난 책 읽는 것두 좋아 ㅎㅎ!!	독서도 즐깁니다.	독서 좋아하네~	등신마냥 쳐박혀서 책읽는 것도 좋아하네	책도 좋아하는데	독서 또한 즐기네.	독서 좋아한다니깐!	독서를 좋아하오!	독서도 좋아하는 것 같아..ㅠ	선호하는 책읽기.
애완동물은 없으세요? 저는 강아지 키워요.	애완동물은 없어? 난 강아지를 키워.	애완동물. 있는가. 안드로이드. 키운다. 강아지.	뭐 키우는 동물은 없나? 난 강아지 키워	애완동물 키워? 난 강아지 키우는데	반려동물은 없음?? 난 댕댕이 키움 ㅋㅋㅎ	애완동물은 없어? (´･ω･`)? 난 강아지 🐶 키웡! (●ˇ∀ˇ●)	헐헐 혹시 키우는 동물은 없어~? 난 댕댕이 키워	혹시 반려동물은 없으십니까? 저는 강아지 키우고 있습니다.	애완동물 키우는 건 없는가?...난 강아지를 키우고있네…	키우는 것두 없냐? 난 개새끼라도 한놈 키워	애완동물은 안키우냐? 난 강아지키우는데	애완동물은 없는가? 짐은 강아지를 기르고 있네.	애완동물은 없냐니깐. 난 강아지 키우고 있다니깐!	애완동물은 없는 것이오? 소생은 강아지를 키우고 있소!	애완동물은 없는거야..? 난 강아지 키워 ㅠ	애완동물을 보유하고 있나요? 나는 소유 강아지.
이름이 어떻게 되요? 나이는요?	이름이 뭐야? 나이는?	이름. 무엇인가. 나이는. 무엇인가.	아이고 이름이 뭐데? 나이는?	이름이 뭐임? 나이 몇?	이름이 뭔데?? 나이는???	(☞ﾟヮﾟ)☞이름이 뭐야? ☜(ﾟヮﾟ☜)	엥? 대~박 이름은 머야머야?? 나이는?!	강아지,, 이름이 어떻게 되나요? 나이도 궁금하군요.	이름이 뭔가?...나이는 몇이여?...	허이고 이름도 있냐? 늙은 놈이여?	이름뭔데? 몇살?	이름이 무엇인가? 나이는?	이름이 뭐냐니깐! 나이는? 	이름이 무엇이오? 나이는?	이름은 뭐야 혹시..? 나이는..?	무엇입니까 이름이? 몇 년?
미코이고 4개월 됐어요. 저는 또 음악 감상도 즐겨요.	미코이고 4개월 됐어. 난 음악 감상도 즐겨.	미코. 4개월. 안드로이드. 음악감상. 즐긴다.	미코라고 저 뭐야 4개월쯤 됐나 아 그리고 나 저 음악 듣는 것도 좋아해	이름은 미코고 4개월 됐음. 난 음악 드는 것도 좋아해	미코! 4개월임 ㅎㅎ 난 노래 듣는 것도 좋음 ㅋㅋ	이름은 미코고 4개월 됐어! *^____^* 난 음악 감상도 즐겨! 🎹 o((>ω< ))o	애기 이름은 미코! 4개월 됐다 완전 애기애기~ 아 맞다 나 음악 듣는 것도 완~전 좋아행!!	미코라고 하는 아이고 4개월 되었네요 ㅎㅎ,, 저는 음악 감상도 즐깁니다.	이름은 미코고…4개월…됐지…난 음악도 즐겨 들어…	미코라는 염병할 이름도 있고 이제 4개월 핏덩이여 글고 나는 좀 지랄맞아보여도 음악 듣는 것도 좋아하네	이름 미코고 4살됨. 난 노래도 좋아한다	미코라 하며, 4개월이 되었소. 짐은 또한 음악을 즐기오.	이름은 미코에 4개월 됐다니깐! 난 음악도 즐겨 듣는다니깐!	미코이고 4개월 됐소! 소생은 음악 감상도 즐기고 있소!	미코야.. 4개월 됐어 ㅠ 난 그리고 그.. 음악 감상도 즐겨.. ㅠ	미코입니다. 그녀는 4개월이다. 나는 또한 즐깁니다 음악
저는 야외에서 노는 것을 좋아해요.	난 야외에서 노는 것을 좋아해.	안드로이드. 야외. 놀이. 선호.	난 야외에서 노는 것도 좋~더라고~	난 밖에서 노는 거 좋아해	난 걍 밖에서 나돌아댕기는 거 좋아함 ㅋㅋ	난 밖에서 노는 거 좋아해! (o゜▽゜)o☆	난 야외에서 노는 거 좋아행 ㅎㅎ	전 야외에서 노는 것도 좋더라고요.	나는…밖에서 노는 걸 좋아혀…	요즘 뭔 지랄인지 몰러도 난 야외에서 노는 게 좋더라구	밖에서 노는게 낫지	짐은 야외에서 여가를 보내는 것을 선호하오.	난 밖에서 노는 걸 좋아한다니깐! 	소생은 밖에서 노는 것을 좋아하오!	난 야외에서 노는거… 좋아하는 것 같아 ㅠ	나의 선호는 야외의 놀이이다.
오늘 밖에 날씨 좋던데요?	오늘 밖에 날씨 좋던데?	오늘. 야외. 날씨. 좋음.	오늘 밖에 날씨도 좋던데~	오늘 날씨 좋던데?	오늘 밖에 날씨 ㅆㅅㅌㅊ던데?	오늘 밖에 날씨 좋더라? ^0^	오늘 밖에 완전 대박이던데?!	오늘 날씨가 좋더라고요.	오늘 밖에 날씨 좋더구먼…	오늘 밖에 날씨 염병하게 좋던디	날씨 좋더라 오늘	호오, 오늘 날씨가 참으로 좋구나.	오늘 밖에 날씨 좋다니깐!	오늘 밖에 날씨 좋은 것이오!	오늘 그.. 밖에 날씨는 좋던데..? ㅠ	오늘의 날씨는 착하다.
맞아요. 그런데 전 겨울을 더 선호해요.	맞아. 그런데 난 겨울을 더 선호해.	동의. 그러나. 안드로이드. 겨울. 선호.	그치 근데 난 겨울이 더 좋더라	맞음 . 근데 난 겨울이 좋음	ㅇㅇ 근데 난 겨울이 더 좋음	맞어맞어 :) 근데 난 겨울이 더 좋아 OwO	마자! 근데 난 겨울이 더 좋은 거 잇지ㅜ	맞습니다. 하지만 전 겨울을 더 선호하는 편이라,,	그렇지…근데 난 겨울이 더 좋아…	맞어 근디 시부럴 난 겨울이 더 좋더만	ㅇ 근데 겨울이 나은듯	그렇소. 허나 짐은 겨울을 더 선호하는 바요.	맞지. 근데 난 겨울 더 좋아한다니깐!	맞소. 하지만 소생은 겨울을 더 선호하오!	응.. 근데 난 겨울 더 좋아하는 것 같아.. ㅠ	그런. 하지만 나의 선호는 가을입니다.
오늘 날씨 좋아서 저는 애들 데리고 공원 나갔다 왔어요.	오늘 날씨 좋아서 난 애들 데리고 공원에 나갔다 왔어.	오늘. 날씨. 좋음. 안드로이드. 애들. 데리고. 공원. 다녀옴.	오늘 날씨가 좋아서 난 그냥 애들 데리고 공원이나 한번 쓱 다녀왔지	오늘 날씨 좋아가지고 애들 데리고 공원 갔다왔어	오늘 날씨 ㄹㅇ 좋길래 난 애들 데리고 공원 갔다 옴 ㅋㅋ	오늘 날씨 좋아서 애들데리고 공원 갔다왔엉! O(*￣▽￣*)ブ	그랭? 난 오늘 날씨가 너~무 좋아서 애들 데리구 공원 다녀왔어 ㅎㅎ!!!	오늘 날씨가 좋아서,, 전 아이들 데리고 공원 다녀왔습니다.	오늘 날씨가 좋아서…아이들 데리고 공원에 나갔다 왔네 그려…	오늘 날이 염병하게 좋아서 난 애들 데리고 공원 갔다 와버렸어	날씨 좋아서 애들이랑 산책갔다옴	오늘은 날씨가 좋아 짐은 아이들과 공원에 다녀왔네.	오늘 날씨 좋아서 애들 데리고 공원에 나갔다 왔다니깐!	오늘 날씨가 좋아서 소생은 아이들데리고 공원에 나갔다온 것이오!	오늘 날씨 좋길래 그.. 난 애들 데리고 공원 갔다왔어.. ㅠㅠ	오늘의 날씨가 좋아서 나는 공원에 아이들과 다녀왔다.
